the-other-side-of-the-bed,The Other Side of the Bed,0.403863
who-gets-to-call-it-art,Who Gets to Call It Art?,0.0985009
not-one-less,Not One Less,0.0991032
the-autobiography-of-nicolae-ceausescu,The Autobiography of Nicolae Ceausescu,0.0985009
the-untold-story-of-emmett-louis-till,The Untold Story of Emmett Louis Till,0.0973585
reaching-for-the-moon,Reaching for the Moon,0.0991032
the-muppets-take-manhattan,The Muppets Take Manhattan,0.0985009
the-tao-of-steve,The Tao of Steve,0.0985009
man-of-the-century,Man of the Century,0.0991032
play-it-to-the-bone,Play It to the Bone,0.26833
therese-the-story-of-saint-therese-of-lisieux,Thérèse: The Story of Saint Thérèse of Lisieux,0.180979
the-business-of-fancydancing,The Business of Fancydancing,0.0985009
a-league-of-ordinary-gentlemen,A League of Ordinary Gentlemen,0.0985009
shes-gotta-have-it,She's Gotta Have It,0.0973585
on-any-sunday-the-next-chapter,On Any Sunday: The Next Chapter,0.0973585
american-cannibal-the-road-to-reality,American Cannibal: The Road to Reality,0.0985009
out-of-the-clear-blue-sky,Out of the Clear Blue Sky,0.0991032
the-house-of-yes,The House of Yes,0.0985009
the-ballad-of-ramblin-jack,The Ballad of Ramblin' Jack,0.0985009
the-king-and-i,The King and I,0.266913
before-you-know-it,Before You Know It,0.0985009
how-to-lose-a-guy-in-10-days,How to Lose a Guy in 10 Days,0.0985009
a-man-of-no-importance,A Man of No Importance,0.0985009
blame-it-on-rio,Blame It on Rio,0.0991032
death-of-a-dynasty,Death of a Dynasty,0.0991032
day-of-the-dead,Day of the Dead,0.0991032
a-dog-of-flanders,A Dog of Flanders,0.0985009
aileen-life-and-death-of-a-serial-killer,Aileen: Life and Death of a Serial Killer,0.266913
the-cats-meow,The Cat's Meow,0.0985009
escaflowne-the-movie,Escaflowne: The Movie,0.0991032
dracula-pages-from-a-virgins-diary,Dracula: Pages from a Virgin's Diary,0.0985009
aliens-of-the-deep,Aliens of the Deep,0.0991032
etoiles-dancers-of-the-paris-opera-ballet,Etoiles: Dancers of the Paris Opera Ballet,0.0991032
father-of-the-bride-part-ii,Father of the Bride Part II,0.0991032
americas-heart-and-soul,America's Heart and Soul,0.0985009
the-filth-and-the-fury,The Filth and the Fury,0.187842
city-slickers-ii-the-legend-of-curlys-gold,City Slickers II: The Legend of Curly's Gold,0.264703
flight-of-the-phoenix,Flight of the Phoenix,0.0991032
yours-mine-and-ours,"Yours, Mine and Ours",0.0985009
gigantic-a-tale-of-two-johns,Gigantic (A Tale of Two Johns),0.0985009
the-game-of-their-lives,The Game of Their Lives,0.0985009
hara-kiri-death-of-a-samurai,Hara-Kiri: Death of a Samurai,0.0991032
a-decade-under-the-influence,A Decade Under the Influence,0.0973585
hiding-and-seeking-faith-and-tolerance-after-the-holocaust,Hiding and Seeking: Faith and Tolerance After the Holocaust,0.174351
music-of-the-heart,Music of the Heart,0.0991032
going-upriver-the-long-war-of-john-kerry,Going Upriver: The Long War of John Kerry,0.0973585
curse-of-the-golden-flower,Curse of the Golden Flower,0.0991032
i-dreamed-of-africa,I Dreamed of Africa,0.0985009
our-lady-of-the-assassins,Our Lady of the Assassins,0.0991032
on-the-line,On the Line,0.0991032
